,Tweets,Name,Length,Date,Source,location,Followers,Followings,Hashtags,Language,Likes,Retweets,Sentiment
0,"Covid-19: @rajnathsingh tells armed forces to 'redouble work', coordinate with other ministries 

READ:… https://t.co/5c8N7YJOSP",The Times of India,128,2020-04-01 14:01:13,TweetDeck,New Delhi,12530719,530,,en,20,2,Controversial
1,"How animal lovers are feeding stray animals amidst lockdown 

READ: https://t.co/z1PLTkRSrv https://t.co/llTdKtGGqD",The Times of India,115,2020-04-01 14:00:01,TweetDeck,New Delhi,12530719,530,,en,21,0,Neutral
2,CM Yogi Adityanath has said that the condition of the state's economy is strong despite the dip in revenues due to… https://t.co/D7NXikAIO3,The Times of India,139,2020-04-01 13:57:53,TweetDeck,New Delhi,12530719,530,,en,19,4,Positive
3,"TOI Quick Edit | RBI does the right thing in displaying flexibility and speed 

READ: https://t.co/MP77tsxfUc https://t.co/xfmrLHrs6R",The Times of India,133,2020-04-01 13:50:00,TweetDeck,New Delhi,12530719,530,,en,22,1,Positive
4,"RT @toisports: #F1 #Formula1 #AstonMartin

@astonmartin returns to @F1 in 2021 after major takeover 

Read: https://t.co/1jSg064pWa https:/…",The Times of India,140,2020-04-01 13:45:37,TweetDeck,New Delhi,12530719,530,F1,en,0,1,Positive
5,We anticipate we will have several flights beginning the weekend of April 4. US citizens in areas in northern India… https://t.co/itwQpehoVx,The Times of India,140,2020-04-01 13:45:33,TweetDeck,New Delhi,12530719,530,,en,43,5,Neutral
6,"1 more #Coronavirus positive case reported in Buldhana and 14 in Mumbai today. 

Total number of positive cases in… https://t.co/VyJQOGFDIX",The Times of India,139,2020-04-01 13:44:59,TweetDeck,New Delhi,12530719,530,Coronavirus,en,28,4,Positive
7,"Union minister @naqvimukhtar slams Tablighi Jamaat over #coronavirus spread 

READ: https://t.co/eva26dpua5 https://t.co/XsmoHd6qmf",The Times of India,131,2020-04-01 13:40:00,TweetDeck,New Delhi,12530719,530,coronavirus,en,76,11,Neutral
8,"GST mop-up slips below Rs 1 lakh crore-mark, March collection at Rs 97,597 crore https://t.co/q7fUhpQe3l via @TOIBusiness",The Times of India,121,2020-04-01 13:38:15,TweetDeck,New Delhi,12530719,530,,en,23,1,Neutral
9,"In Maharashtra village, donkey parade for those stepping out of homes 

https://t.co/gyH2ZbsytE via @TOIMumbai… https://t.co/YpeUkjdGO4",The Times of India,135,2020-04-01 13:32:07,TweetDeck,New Delhi,12530719,530,,en,29,4,Controversial
10,"#BREAKING UK records over 500 #coronavirus deaths in a day for first time (AFP) 

#CautionYesPanicNo… https://t.co/SaRLB8E8l8",The Times of India,125,2020-04-01 13:30:54,Twitter Web App,New Delhi,12530719,530,BREAKING,en,42,17,Positive
11,"5 trains, thousands of passengers under scanner over travelling with Tablighi Jamaat participants 

READ:… https://t.co/xdJKozTQXv",The Times of India,130,2020-04-01 13:30:00,TweetDeck,New Delhi,12530719,530,,en,112,21,Neutral
12,"This amounts to violation of lockdown measures issued by MHA under Disaster Management Act, 2005: Ajay Bhalla, Unio… https://t.co/Z4NsBwtLFP",The Times of India,140,2020-04-01 13:26:17,Twitter Web App,New Delhi,12530719,530,,en,22,5,Neutral
13,Home secretary writes to states not to allow exceptions beyond what is laid down in MHA guidelines on the #lockdown… https://t.co/rkzO6e7tBQ,The Times of India,140,2020-04-01 13:25:17,TweetDeck,New Delhi,12530719,530,lockdown,en,30,4,Controversial
14,India’s budget under strain on day one of new fiscal year https://t.co/EU05NG2jsG via @TOIBusiness,The Times of India,98,2020-04-01 13:23:48,TweetDeck,New Delhi,12530719,530,,en,26,5,Positive
15,"Armed forces have made available over 9,000 hospital beds and more than 8,500 doctors and support staff across the… https://t.co/0JEtTftmfD",The Times of India,139,2020-04-01 13:22:35,TweetDeck,New Delhi,12530719,530,,en,57,14,Positive
16,"Arunachal Pradesh cricketer Techi Doria, who is also known as Bob Marley among his fans  -- because of his long-bra… https://t.co/uXiC9gXPy4",The Times of India,140,2020-04-01 13:19:54,Twitter Media Studio,New Delhi,12530719,530,,en,56,14,Controversial
17,"#Coronavirus: SC seeks Centre's reply on plea for WHO graded protective gear to medical staff 

READ:… https://t.co/iifsEbmVKc",The Times of India,126,2020-04-01 13:15:00,TweetDeck,New Delhi,12530719,530,Coronavirus,en,35,6,Neutral
18,"RT @toisports: #RyderCup ⛳️

@rydercup should go ahead on time, says @RyderCupEurope's @padraig_h  

Read: https://t.co/kVeM1dR29l https://…",The Times of India,140,2020-04-01 13:11:16,TweetDeck,New Delhi,12530719,530,RyderCup,en,0,1,Neutral
19,"HRD ministry directs CBSE to promote all class 1-8 students to next class 

READ: https://t.co/gMSabx6gP9 https://t.co/zqh18vBUke",The Times of India,129,2020-04-01 13:11:13,TweetDeck,New Delhi,12530719,530,,en,89,10,Neutral
20,"#CautionYesPanicNo #CoronavirusOutbreak #Covid19India #IndiaFightsCorona #StayHomeIndia #StayHome

Live updates 👇… https://t.co/JjfSygIrQh",The Times of India,138,2020-04-01 13:07:07,TweetDeck,New Delhi,12530719,530,CautionYesPanicNo,en,60,13,Positive
21,"RT @toisports: #CoronavirusLockdown convinces, @ManCity's #KevinDeBruyne to defer retirement 

Read: https://t.co/xeMNT6Nl2u

#CoronavirusP…",The Times of India,140,2020-04-01 13:02:42,TweetDeck,New Delhi,12530719,530,CoronavirusLockdown,en,0,1,Neutral
22,"RT @toisports: #CautionYesPanicNo #CoronaLockdownIndia 

Sports stars take to Twitter to keep fans engaged 

Read: https://t.co/6Qb9sbodNt…",The Times of India,139,2020-04-01 13:00:36,TweetDeck,New Delhi,12530719,530,CautionYesPanicNo,en,0,2,Neutral
23,"Russian doctor who met Putin last week diagnosed with #coronavirus 

https://t.co/ohR8mdor5p via @TOIWorld https://t.co/8kB6jDQMit",The Times of India,130,2020-04-01 13:00:00,TweetDeck,New Delhi,12530719,530,coronavirus,en,55,5,Neutral
24,"Chhota Udepur villages unite, bring home natives https://t.co/pVVbvW9FRG via @TOICitiesNews https://t.co/XPI8O8kT3V",The Times of India,115,2020-04-01 13:00:00,TweetDeck,New Delhi,12530719,530,,en,16,1,Neutral
25,71 people from Bengal who attended Tablighi Jamaat congregation in Delhi's Nizamuddin identified: CM Mamata Banerje… https://t.co/k2XwNxDGa6,The Times of India,140,2020-04-01 12:55:42,TweetDeck,New Delhi,12530719,530,,en,77,10,Neutral
26,"Enforcement Directorate attaches under Prevention of Money Laundering Act, 2002 (PMLA) balances in bank accounts, s… https://t.co/QeWrNU9FrC",The Times of India,140,2020-04-01 12:52:33,TweetDeck,New Delhi,12530719,530,,en,51,6,Neutral
27,"Two more test positive for coronavirus in Maharashtra, tally reaches 322: health minister Rajesh Tope
(PTI)… https://t.co/nGBnToEu4X",The Times of India,132,2020-04-01 12:50:00,Twitter Web App,New Delhi,12530719,530,,en,18,3,Positive
28,"Cheers greet Vadodara’s first Covid survivor’s homecoming 

“If I would have not been in India, I would have never… https://t.co/0jWJUHYBrL",The Times of India,139,2020-04-01 12:50:00,TweetDeck,New Delhi,12530719,530,,en,33,5,Positive
29,"PM Modi stated that over the past 70 yrs since the establishment of diplomatic ties, India-China political, economi… https://t.co/9O8RWhcMIn",The Times of India,140,2020-04-01 12:48:38,Twitter Web App,New Delhi,12530719,530,,en,31,3,Controversial
30,"Today, Chinese Premier Li Keqiang exchanged messages of felicitations with PM Modi. Premier Li Keqiang stated that… https://t.co/RJTioyUJkr",The Times of India,139,2020-04-01 12:48:18,TweetDeck,New Delhi,12530719,530,,en,24,2,Neutral
31,"RT @toisports: #EPL #CoronavirusOutbreak #PremierLeague 

Pressure mounts on @premierleague players to make move on wages 

Read: https://t…",The Times of India,140,2020-04-01 12:47:10,TweetDeck,New Delhi,12530719,530,EPL,en,0,2,Neutral
32,"NSA Ajit Doval intervened to get Delhi's Markaz premises vacated: Govt sources 

READ: https://t.co/cCR1frBJzz https://t.co/KIaZDr2zi0",The Times of India,134,2020-04-01 12:45:00,TweetDeck,New Delhi,12530719,530,,en,59,7,Neutral
33,President Xi Jinping noted in his message that China-India relations have travelled a remarkable journey in the las… https://t.co/Z4u2I02wmn,The Times of India,140,2020-04-01 12:43:35,Twitter Web App,New Delhi,12530719,530,,en,31,5,Positive
34,Whatever happened at Delhi's #NizamuddinMarkaz is absolutely despicable. It's a crime against the nation &amp; humanity… https://t.co/K1KIYLPMOR,The Times of India,144,2020-04-01 12:42:48,TweetDeck,New Delhi,12530719,530,NizamuddinMarkaz,en,285,58,Positive
35,Students of class 9 and 11 to be promoted on school based assessments conducted so far: HRD Minister directs CBSE (… https://t.co/pApCs9WD3q,The Times of India,140,2020-04-01 12:41:00,TweetDeck,New Delhi,12530719,530,,en,63,8,Positive
36,President of China Xi Jinping and President Ram Nath Kovind exchanged messages of felicitations today to celebrate… https://t.co/MbUoYl4Dm0,The Times of India,139,2020-04-01 12:40:19,TweetDeck,New Delhi,12530719,530,,en,46,1,Neutral
37,"Coronavirus treatment made free in Maharashtra; Rs 1.5 lakh cover for each family member 

Under the scheme, the st… https://t.co/R4a3MAkQ55",The Times of India,140,2020-04-01 12:40:00,TweetDeck,New Delhi,12530719,530,,en,84,20,Positive
38,"Meet Rinku from 'Hera Pheri'

via @etimes 

https://t.co/9AvhyKVrQf",The Times of India,67,2020-04-01 12:33:36,Twitter Web App,New Delhi,12530719,530,,en,35,4,Neutral
39,"How Covid-19 lockdown is hurting fishermen

Fishermen as well as the traders say the losses could go up to a few cr… https://t.co/Ijg2tuq5Gt",The Times of India,140,2020-04-01 12:30:00,TweetDeck,New Delhi,12530719,530,,en,17,2,Controversial
40,"West Bengal Chief Minister @MamataOfficial has writen to Prime Minister @narendramodi urging him to sanction Rs 25,… https://t.co/y38xOAMylU",The Times of India,140,2020-04-01 12:25:41,TweetDeck,New Delhi,12530719,530,,en,92,9,Neutral
41,"RT @toisports: 'Still got the moves': @bhaichung15 nails #HomeSkillsChallenge with effortless ball control 

Watch 🧐 https://t.co/dvmWvtK1C…",The Times of India,140,2020-04-01 12:22:01,TweetDeck,New Delhi,12530719,530,HomeSkillsChallenge,en,0,4,Neutral
42,Manu Bhaker (@realmanubhaker) is not missing out on anything during this 21-day lockdown: Shooting - check. Fitness… https://t.co/OeqFNZhvsU,The Times of India,140,2020-04-01 12:20:52,Twitter Media Studio,New Delhi,12530719,530,,en,25,1,Positive
43,"How behavioural changes due to Covid-19 are transforming Indian villages

Read: https://t.co/mjqnyJhjzL https://t.co/a6D9nR6hYg",The Times of India,127,2020-04-01 12:20:00,TweetDeck,New Delhi,12530719,530,,en,42,2,Controversial
44,The government of India has taken the decision to receive foreign donations for #PMCARES: Sources (ANI) https://t.co/eqFwoZwdkW,The Times of India,127,2020-04-01 12:16:21,TweetDeck,New Delhi,12530719,530,PMCARES,en,66,6,Controversial
45,RT @timesfactcheck: A message that is being heavily circulated on WhatsApp claimed that administrators of 52 WhatsApp groups were detained…,The Times of India,139,2020-04-01 12:14:55,Twitter Web App,New Delhi,12530719,530,,en,0,9,Controversial
46,"Two India's — one at home doing yoga, other fighting for survival: Kapil Sibal https://t.co/scHvu8KABH https://t.co/PMO0M35tjd",The Times of India,126,2020-04-01 12:10:00,TweetDeck,New Delhi,12530719,530,,en,154,16,Controversial
47,"Moratorium plan: Borrowers unlikely to get significant gains; banks to charge interest later 

https://t.co/n11gp29q1R via @TOIBusiness",The Times of India,135,2020-04-01 12:09:23,TweetDeck,New Delhi,12530719,530,,en,22,5,Controversial
48,Commerce Ministers of #SAARC member countries to hold a video conference this week: Sources (ANI) https://t.co/ZWmL7foiom,The Times of India,121,2020-04-01 12:08:42,TweetDeck,New Delhi,12530719,530,SAARC,en,21,1,Neutral
49,IAS officer Sukhdev Singh takes charge as Chief Secretary of #Jharkhand. (ANI) https://t.co/ZGh4J7DJ7G,The Times of India,102,2020-04-01 12:08:25,TweetDeck,New Delhi,12530719,530,Jharkhand,en,42,3,Neutral
50,"RT @toisports: #F1 #BritishGP #CoronavirusPandemic #CautionYesPanicNo

@SilverstoneUK holding out until end of April on British Grand Prix…",The Times of India,139,2020-04-01 12:01:35,TweetDeck,New Delhi,12530719,530,F1,en,0,3,Positive
